user_id,hour,day_of_week,ip_reputation,device_trust,login_success,session_duration,data_transfer_mb,geo_distance_km,is_anomaly,hour_risk,geo_risk,device_risk,ip_risk,session_risk,transfer_risk,behavior_score,failure_streak,iso_prediction,iso_score,iso_anomaly,rf_proba,iso_norm,risk_score,risk_level
user_0000,15,0,0,0,1,214.1561721020389,0.5647729609535296,1.7516040114752007,0,1,1,0,0,1,1,0.65,0,1,0.2776734227293848,0,0.2018966446523599,0.0,12,LOW
user_0001,13,1,0,0,0,14.60745032764475,1277.9666284519262,20.823031179143364,1,1,1,0,0,3,4,1.15,1,-1,-0.0665595353490385,1,1.0,0.8297168916429857,93,HIGH
user_0002,15,2,1,0,1,303.5323107945337,18.214968665065385,4.482764473890139,0,1,1,0,1,1,1,0.7999999999999999,0,1,0.2129135634933541,0,0.13356667006213288,0.15609298252120107,14,LOW
user_0003,18,1,0,0,1,13.202077265463622,1693.9069511840114,5.701928899586955,1,1,1,0,0,3,4,1.15,0,-1,-0.0665595353490385,1,1.0,0.8297168916429857,93,HIGH
user_0004,13,1,0,0,1,281.3513759218889,26.232846482741778,2.4970508425452613,0,1,1,0,0,1,1,0.65,0,1,0.2776734227293848,0,0.2018966446523599,0.0,12,LOW
user_0005,13,3,0,0,1,231.26594101542693,56.94399033661471,5.539329847812583,0,1,1,0,0,1,2,0.75,0,1,0.2193048404666994,0,0.33007420523328185,0.14068786125229182,25,LOW
user_0006,18,3,0,0,1,235.08853521842025,15.38006466331751,2.630545976940475,0,1,1,0,0,1,1,0.65,0,1,0.2776734227293848,0,0.2018966446523599,0.0,12,LOW
user_0007,16,4,1,0,1,246.7812426179297,0.2101173850791805,10.96397065989176,0,1,1,0,1,1,1,0.7999999999999999,0,1,0.2129135634933541,0,0.13356667006213288,0.15609298252120107,14,LOW
user_0008,12,2,0,0,1,194.8127429740403,24.90044588368541,6.909025266417216,0,1,1,0,0,1,1,0.65,0,1,0.2776734227293848,0,0.2018966446523599,0.0,12,LOW
user_0009,15,0,2,0,1,205.916303137824,28.10844138488482,15.514541674318146,0,1,1,0,2,1,1,0.95,0,1,0.1483955927109178,0,0.007188301157192252,0.31160293273497597,13,LOW
user_0010,12,1,1,0,1,322.6727785091084,18.42721491655442,3.75025309689724,0,1,1,0,1,1,1,0.7999999999999999,0,1,0.2129135634933541,0,0.13356667006213288,0.15609298252120107,14,LOW
